Title: Gale2013MORB-7

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1363.15 10.428073 26.125243 -130255.216161 3.938149 14.188087 4.822 62.1074 5.91022 11.8771 0.764522 4.47771 1.51673 1.56827 8.45807 1.54115 0.787052 0.991721 38.4
5000.00 1358.15 9.991900 24.970717 -125318.658387 3.787137 13.567872 4.973 62.9132 5.70727 11.8374 0.716549 4.18937 1.55603 1.49934 8.28148 1.50791 0.80849 0.982987 38.9
5000.00 1353.15 9.602007 23.936444 -120887.828129 3.651627 13.013548 5.119 63.6758 5.51583 11.7937 0.672626 3.92654 1.59156 1.43565 8.11082 1.47396 0.828593 0.974918 39.5
5000.00 1348.15 9.250951 23.003225 -116883.402923 3.529184 12.514503 5.261 64.4005 5.33437 11.7469 0.632268 3.68594 1.62361 1.37651 7.94542 1.43961 0.847503 0.967413 40.0
5000.00 1343.15 8.932863 22.155890 -113242.513394 3.417876 12.062371 5.401 65.0914 5.16169 11.6977 0.595069 3.46482 1.65241 1.32134 7.78478 1.4051 0.865338 0.960401 40.5
5000.00 1338.15 8.643043 21.382280 -109914.600414 3.316150 11.650456 5.537 65.7518 4.99684 11.6467 0.560688 3.26095 1.67821 1.26969 7.6285 1.37061 0.882201 0.953828 41.0
5000.00 1333.15 8.377678 20.672514 -106858.478917 3.222741 11.273326 5.672 66.3847 4.83907 11.5942 0.528834 3.07241 1.70119 1.22119 7.47627 1.33626 0.898179 0.947656 41.5
5000.00 1328.15 8.133636 20.018473 -104040.214103 3.136608 10.926524 5.804 66.9925 4.68776 11.5407 0.499257 2.89759 1.72153 1.17551 7.32785 1.30215 0.913347 0.941855 42.0
5000.00 1323.15 7.908322 19.413413 -101431.557272 3.056882 10.606352 5.934 67.5771 4.54237 11.4863 0.471738 2.73511 1.73941 1.13238 7.18302 1.26837 0.927771 0.936404 42.5
5000.00 1318.15 7.699561 18.851682 -99008.775095 2.982836 10.309716 6.063 68.1404 4.40247 11.4314 0.446088 2.58377 1.75497 1.09157 7.04161 1.23497 0.941511 0.931287 43.0
5000.00 1313.15 7.505516 18.328501 -96751.760575 2.913852 10.034001 6.191 68.6837 4.26768 11.3761 0.422141 2.44254 1.76836 1.05289 6.90348 1.202 0.954616 0.926491 43.5
5000.00 1308.15 7.324624 17.839797 -94643.348392 2.849405 9.776984 6.317 69.2086 4.13768 11.3205 0.39975 2.31051 1.77968 1.01615 6.76851 1.16948 0.967132 0.922009 43.9
5000.00 1303.15 6.039398 14.673895 -78057.815740 2.349745 8.053088 6.341 69.2773 4.04307 11.3632 0.382198 2.20609 1.99738 0.988971 6.64604 1.11318 1.04799 0.934563 44.4
5000.00 1298.15 4.373361 10.601579 -56444.043132 1.699139 5.827879 6.280 68.9922 3.97222 11.4707 0.368796 2.12522 2.38819 0.96952 6.53899 1.04343 1.1692 0.961592 44.8
5000.00 1293.15 3.119604 7.544664 -40197.553220 1.210077 4.154720 6.211 68.686 3.9015 11.5662 0.356843 2.05273 2.79792 0.951995 6.44251 0.978937 1.27437 0.990974 45.3
5000.00 1288.15 2.143761 5.172297 -27573.170698 0.830030 2.853583 6.131 68.3546 3.8321 11.6511 0.346234 1.98807 3.22865 0.936518 6.3575 0.918767 1.36326 1.02316 45.6
5000.00 1283.15 1.366262 3.288427 -17537.195370 0.527897 1.817809 6.042 67.9936 3.76506 11.7261 0.336896 1.93086 3.68294 0.923189 6.28483 0.862214 1.43562 1.0587 46.0
5000.00 1278.15 0.737317 1.770255 -9442.635580 0.284216 0.980622 5.942 67.5981 3.70143 11.7915 0.328784 1.88079 4.16375 0.912097 6.22534 0.808709 1.49123 1.09822 46.4

orthopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5
5000.00 1573.15 0.965787 2.432179 -12096.938232 0.300489 1.235596 opx Na0.00Ca0.06Fe''0.29Mg1.58Fe'''0.02Ti0.00Al0.10Si1.94O6 55.1112 0.0791183 2.41586 0.579575 9.97634 0 30.1268 1.68178 0.0293441 0 0
5000.00 1568.15 1.779955 4.473807 -22271.834096 0.553313 2.274249 opx Na0.00Ca0.07Fe''0.30Mg1.57Fe'''0.02Ti0.00Al0.10Si1.94O6 55.0421 0.079675 2.44025 0.583822 10.1359 0 29.9454 1.74263 0.0301354 0 0
