,experiment,step,pressure,temperature,mass,F,phi,entropy,enthalpy,volume,dVdP*10^6,dVdT*10^6,Cp,logfO2(absolute),logfO2-QFM,rhol,rhos,viscosity,aH2O,chisqr,mass%,volume%
"(5000, 1230)",9738d19744,7,5000.0,1230.0,94.35477,0.9483022411141492,0.956363,256.878765,-1130887.153014,34.541379,-208.105021,2733.669275,139.573995,-7.97,0.0,2.7086200000000002,3.236262,2.222,0.0259062,0.0,0.9492519925361479,0.9392523501717099
"(5000, 1220)",9738d19744,8,5000.0,1220.0,89.477986,0.9512460225293796,0.959009,243.091019,-1072686.487375,32.801474,-202.101471,2620.451337,132.075021,-8.079,0.0,2.705782,3.244513,2.3040000000000003,0.0276596,0.0,0.9001893226873591,0.8919406936126157
"(5000, 1210)",9738d19744,9,5000.0,1210.0,85.11699200000001,0.953977513092116,0.961463,230.745233,-1020808.9957549999,31.246747999999997,-196.719064,2518.55146,125.38091200000001,-8.19,0.0,2.7028209999999997,3.253107,2.387,0.0293959,0.0,0.8563157353325472,0.8496644414290228
"(5000, 1200)",9738d19744,10,5000.0,1200.0,81.20128100000001,0.9536655596763371,0.9608540000000001,219.606346,-974442.854692,29.849512,-191.475637,2423.012543,116.330527,-8.302,0.0,2.7000029999999997,3.219928,2.468,0.0313128,0.0,0.8169218979150461,0.8116706717898744
"(5000, 1190)",9738d19744,11,5000.0,1190.0,77.440625,0.9177556692305991,0.923991,208.363144,-930579.9674409999,28.47798,-181.369425,2290.429148,109.993599,-8.415,0.0,2.700964,2.942411,2.503,0.0363189,0.0,0.7790879844706804,0.7743758476794732
"(5000, 1180)",9738d19744,12,5000.0,1180.0,71.072387,0.9119544379659176,0.917883,190.88020600000002,-850822.000799,26.132779,-169.482897,2134.396392,100.551135,-8.53,0.0,2.702098,2.916016,2.529,0.0426285,0.0,0.7150206075861371,0.7106049266958308
"(5000, 1170)",9738d19744,13,5000.0,1170.0,64.81656600000001,0.9161625286086306,0.9216409999999999,173.890085,-772399.7245100001,23.83336,-158.601098,1991.8610210000002,91.456019,-8.646,0.0,2.703407,2.909711,2.551,0.0496027,0.0,0.6520841969605855,0.648078914060971
"(5000, 1160)",9738d19744,14,5000.0,1160.0,59.384508,0.9224353890647252,0.9275190000000001,159.15594099999998,-704418.223483,21.834656,-149.197038,1869.736352,83.596849,-8.765,0.0,2.70483,2.910489,2.571,0.05697580000000001,0.0,0.5974352175812501,0.5937299713248515
"(5000, 1150)",9738d19744,15,5000.0,1150.0,54.780558,0.9277491407323868,0.9325110000000001,146.647186,-646950.043966,20.138271,-141.048918,1765.2182649999997,76.936201,-8.885,0.0,2.706332,2.9121349999999997,2.59,0.064731,0.0,0.551117382128556,0.5476017146027897
"(5000, 1140)",9738d19744,16,5000.0,1140.0,50.824978,0.9322782083508384,0.936796,135.883486,-597708.622659,18.678966,-133.906774,1674.531032,71.21451,-9.006,0.0,2.707852,2.915458,2.608,0.0728485,0.0,0.5113224443990048,0.5079201590150024
