,experiment,step,pressure,temperature,mass,entropy,enthalpy,volume,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#,phaseID,phase,formula,structure,mass%,volume%,H2O
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,44.132315999999996,,,,,,49.3856,3.20701,13.9174,1.9729900000000002,13.4725,0.39200300000000005,4.45695,8.83054,3.6857900000000003,0.296272,0.382939,0.3709499048250156,,bulk,,,44.400262705374395,,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,39.081975,,,,,,48.9032,3.5930400000000002,13.2219,2.1084,14.5126,0.442659,4.12835,8.60597,3.7249199999999996,0.326556,0.432424,0.336462783102715,,bulk,,,39.319258863388775,,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,34.916503999999996,,,,,,48.3549,3.9931699999999997,12.511,2.24294,15.5779,0.495468,3.83176,8.41637,3.7361,0.356365,0.484012,0.3048120273703963,,bulk,,,35.128497456450184,,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,4.324319,,,,,,51.6378,0.305222,4.73634,1.17925,6.80319,0.0,18.1416,16.9442,0.252409,0.0,0.0,0.8261894293797925,,solid,,,4.350573843027905,,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,5.392309,,,,,,51.1486,0.37395300000000004,5.21028,1.29764,6.9119,0.0,17.412,17.3654,0.280237,0.0,0.0,0.8178661870932357,,solid,,,5.425048080154114,,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,7.195952,,,,,,50.8775,0.32216500000000003,12.204,1.0299,5.470280000000001,0.0,12.654000000000002,16.2664,1.16743,0.00832018,0.0,0.8048182959832999,,solid,,,7.239641790275958,,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,13.239672,,,,,,51.5286,0.183015,19.1845,0.610794,4.41274,0.0,8.394219999999999,13.3359,2.32744,0.0227217,0.0,0.7722552397007414,,solid,,,13.32005587318349,,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,10.772038,,,,,,52.0635,0.157675,19.6164,0.5559609999999999,5.07406,0.0,8.22213,11.6318,2.6475299999999997,0.030976,0.0,0.7428300319256257,,solid,,,10.837439781593964,,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,8.06345,,,,,,52.4103,0.178821,19.5165,0.583005,5.2909,0.0,7.803780000000001,11.2851,2.89217,0.0395115,0.0,0.7244536425372867,,solid,,,8.11240675226859,,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,6.2813550000000005,,,,,,52.7661,0.199666,19.4111,0.608726,5.4954,0.0,7.398910000000001,10.9335,3.13691,0.049692599999999996,0.0,0.7058812320932076,,solid,,,6.319491869534266,,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,5.051858999999999,,,,,,53.1338,0.219888,19.3011,0.6328090000000001,5.69077,0.0,7.00443,10.5721,3.3831800000000003,0.0619168,0.0,0.6869157372479194,,solid,,,5.082531058431421,,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,4.16711,,,,,,53.5151,0.239312,19.1829,0.6552859999999999,5.8801,0.0,6.61972,10.1995,3.6313699999999995,0.07669110000000001,0.0,0.6674160554315738,,solid,,,4.192410358028631,,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,3.511313,,,,,,53.9133,0.25737,19.0554,0.675723,6.06596,0.0,6.24336,9.81175,3.8824400000000003,0.0947319,0.0,0.6472259535061594,,solid,,,3.5326317259397007,,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,4.324319,,,,,,223.2983196582,224.618196952018,245.099642004478,250.199095185228,279.618258962838,279.618258962838,358.068324533238,431.340450533038,432.431947567509,432.431947567509,432.431947567509,0.6953688093778452,,cumulate,,,4.350573843027905,,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,9.716628,,,,,,275.8090561174,277.82552624487704,305.92096598139705,312.91824183215704,350.18934240925705,350.18934240925705,444.08022671725706,537.719829425857,539.23095392309,539.23095392309,539.23095392309,0.6932958622681995,,cumulate,,,9.775621923182019,,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,16.91258,,,,,,366.11204788,368.43033175607997,456.24972996407996,463.66084092887996,503.02471323543995,503.02471323543995,594.08228984344,711.13452345624,719.5352936996001,719.5951653155114,719.5951653155114,0.6779617557581799,,cumulate,,,17.015263713457976,,
