Title: MORB_Gale2013-1

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1053.15 0.385279 0.659493 -4837.486409 0.132558 0.708828 -2.585 1.32308 0.088916 0.00426782 0.00836811 0.00404637 1.44529 0.911644 52.1865 1.32104e-006 0.00366713 44.0242 99.8
5000.00 1048.15 0.385061 0.655644 -4839.055516 0.132497 0.708536 -2.586 1.30664 0.0839323 0.00416089 0.00819492 0.00391476 1.41782 0.906984 52.2156 1.19736e-006 0.00358444 44.0492 99.8
5000.00 1043.15 0.384849 0.651794 -4840.679967 0.132437 0.708252 -2.588 1.29061 0.0792062 0.00405697 0.00803023 0.00378924 1.39085 0.902512 52.244 1.08446e-006 0.0035036 44.0734 99.8
5000.00 1038.15 0.384643 0.647943 -4842.358406 0.132379 0.707977 -2.589 1.27499 0.0747253 0.00395596 0.00787374 0.00366949 1.36439 0.898227 52.2717 9.81471e-007 0.00342456 44.0971 99.8
5000.00 1033.15 0.384442 0.644090 -4844.089558 0.132322 0.707709 -2.590 1.25976 0.0704773 0.00385771 0.00772515 0.00355524 1.33841 0.894129 52.2986 8.87576e-007 0.00334725 44.1201 99.8
5000.00 1028.15 0.384246 0.640235 -4845.872232 0.132267 0.707449 -2.591 1.24492 0.066451 0.00376213 0.00758417 0.00344621 1.31291 0.89022 52.3249 8.02027e-007 0.00327162 44.1425 99.8

clinopyroxene_2 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5
5000.00 1148.15 1.863927 3.684721 -23354.595696 0.526093 2.034358 cpx Na0.03Ca0.94Fe''0.25Mg0.36Fe'''0.04Ti0.39Al0.76Si1.23O6 31.6907 13.3456 16.6686 1.26483 7.73254 0 6.2565 22.5971 0.444134 0 0
5000.00 1143.15 4.283178 8.445257 -53676.719917 1.208409 4.671604 cpx Na0.03Ca0.94Fe''0.25Mg0.36Fe'''0.04Ti0.39Al0.76Si1.23O6 31.6576 13.3783 16.688 1.25382 7.76417 0 6.21418 22.5908 0.453133 0 0
5000.00 1138.15 6.579251 12.938670 -82467.850668 1.855422 7.171035 cpx Na0.03Ca0.94Fe''0.25Mg0.36Fe'''0.04Ti0.39Al0.76Si1.23O6 31.6253 13.4114 16.7076 1.24222 7.79312 0 6.17379 22.5843 0.462267 0 0
5000.00 1133.15 8.499165 16.670454 -106563.425346 2.395900 9.257539 cpx Na0.04Ca0.94Fe''0.25Mg0.35Fe'''0.04Ti0.39Al0.76Si1.23O6 31.5884 13.447 16.7334 1.22876 7.81451 0 6.13714 22.5806 0.4702 0 0
5000.00 1128.15 8.525105 16.676221 -106962.480955 2.402398 9.280420 cpx Na0.04Ca0.94Fe''0.25Mg0.35Fe'''0.04Ti0.39Al0.77Si1.22O6 31.5155 13.4982 16.8011 1.20593 7.7988 0 6.1152 22.5966 0.46871 0 0
5000.00 1123.15 8.550146 16.679830 -107350.296651 2.408642 9.302255 cpx Na0.04Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.77Si1.22O6 31.4433 13.5488 16.8681 1.18334 7.78336 0 6.09355 22.6124 0.467203 0 0
5000.00 1118.15 8.574322 16.681359 -107727.279618 2.414644 9.323081 cpx Na0.04Ca0.94Fe''0.25Mg0.35Fe'''0.03Ti0.40Al0.77Si1.22O6 31.3719 13.5989 16.9343 1.161 7.76819 0 6.07217 22.6279 0.46568 0 0
