Title: MORB_Gale2013_0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 apatite 
5000.00 1263.15 16.834771 16.048169 0.000000 0.122994 0.009306 0.535883 0.103381 0.015038 
5000.00 1253.15 16.054907 15.336177 0.000000 0.111165 0.007073 0.496136 0.091266 0.013090 
5000.00 1243.15 15.342773 14.683007 0.000000 0.100897 0.005613 0.460836 0.080976 0.011444 
5000.00 1233.15 14.689478 14.081341 0.000000 0.091927 0.004736 0.429282 0.072155 0.010037 
5000.00 1223.15 14.087699 13.525094 0.000000 0.084041 0.004307 0.400908 0.064529 0.008820 
5000.00 1213.15 13.531349 13.009169 0.000000 0.077063 0.004228 0.375252 0.057881 0.007757 
5000.00 1203.15 13.015328 12.529257 0.000000 0.070848 0.004430 0.351936 0.052039 0.006818 
5000.00 1193.15 12.533950 12.012057 0.121983 0.000000 0.000000 0.364780 0.027677 0.007452 
5000.00 1183.15 12.015986 11.555062 0.093283 0.000000 0.000000 0.333534 0.027886 0.006222 
5000.00 1173.15 11.558935 11.132766 0.085129 0.000000 0.000000 0.311491 0.024094 0.005456 
5000.00 1163.15 11.136596 10.741779 0.077733 0.000000 0.000000 0.291461 0.020852 0.004771 
5000.00 1153.15 10.745575 10.379148 0.071015 0.000000 0.000000 0.273186 0.018076 0.004151 
5000.00 1143.15 10.382919 10.042291 0.064903 0.000000 0.000000 0.256444 0.015696 0.003584 
